Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
110820,316383,0,0.0142236,0.777374,0.127152,0.875865,69,33,271568
111540,316383,0,0.0142236,0.777374,0.127152,0.875865,69,33,272435
111660,316383,0,0.0142236,0.777374,0.127152,0.875865,69,33,272580
112140,316383,0,0.0136025,0.780701,0.123159,0.879414,69,33,273112
112320,316383,0,0.0137267,0.780035,0.123957,0.878705,69,33,273327
112890,316383,0,0.013354,0.782032,0.121562,0.880834,70,34,274018
112920,316383,0,0.013354,0.782032,0.121562,0.880834,70,34,274062
113040,316383,0,0.013354,0.782032,0.121562,0.880834,70,34,274238
113250,316383,0,0.013354,0.782032,0.121562,0.880834,70,34,274583
113400,316383,0,0.013354,0.782032,0.121562,0.880834,70,34,274823
114120,316383,0,0.013354,0.782032,0.121562,0.880834,70,34,275737
114960,316383,0,0.013354,0.782032,0.121562,0.880834,70,34,276632
115260,316383,0,0.0127329,0.785359,0.117569,0.884383,71,35,276982
117360,316383,0,0.0127329,0.785359,0.117569,0.884383,71,35,279104
119490,316383,0,0.0122774,0.787799,0.114641,0.886986,72,36,281371
119640,316383,0,0.0122774,0.787799,0.114641,0.886986,72,36,281517
119670,316383,0,0.0122774,0.787799,0.114641,0.886986,72,36,281544
119970,316383,0,0.0122774,0.787799,0.114641,0.886986,72,36,281814
120150,316383,0,0.0115321,0.791792,0.109849,0.891245,73,37,281981
121830,316383,0,0.0107453,0.796007,0.104791,0.895741,73,37,283794
121890,316383,0,0.0107453,0.796007,0.104791,0.895741,73,37,283910
122790,316383,0,0.00954451,0.799778,0.100266,0.899763,74,38,285002
123630,316383,0,0.00954451,0.8,0.1,0.9,74,38,285937
123900,316383,0,0.00954451,0.8,0.1,0.9,74,38,286224
124620,316383,0,0.00954451,0.8,0.1,0.9,74,38,286978
124800,316383,0,0.00954451,0.8,0.1,0.9,74,38,287191
125190,316383,0,0.00908903,0.8,0.1,0.9,75,39,287616
125370,316383,0,0.00908903,0.8,0.1,0.9,75,39,287757
126000,316383,0,0.00908903,0.8,0.1,0.9,75,39,288422
126090,316383,0,0.00834369,0.8,0.1,0.9,75,39,288556
128400,316383,0,0.00726708,0.8,0.1,0.9,76,40,290942
128430,316383,0,0.00726708,0.8,0.1,0.9,76,40,290959
129240,316383,0,0.00726708,0.8,0.1,0.9,76,40,291645
129480,316383,0,0.00726708,0.8,0.1,0.9,76,40,291898
129630,316383,0,0.00726708,0.8,0.1,0.9,76,40,292040
129960,316383,0,0.00726708,0.8,0.1,0.9,76,40,292398
130650,316383,0,0.00664596,0.8,0.1,0.9,77,41,293205
130920,316383,0,0.00602484,0.8,0.1,0.9,77,41,293454
130980,316383,0,0.00602484,0.8,0.1,0.9,77,41,293523
131220,316383,0,0.00602484,0.8,0.1,0.9,77,41,293760
131790,316383,0,0.00602484,0.8,0.1,0.9,77,41,294387
134190,316383,0,0.00565217,0.8,0.1,0.9,78,42,296750
134250,316383,0,0.00565217,0.8,0.1,0.9,78,42,296807
134280,316383,0,0.00565217,0.8,0.1,0.9,78,42,296827
134340,316383,0,0.00565217,0.8,0.1,0.9,78,42,296881
134580,316383,0,0.00565217,0.8,0.1,0.9,78,42,297118
135660,316383,0,0.00494824,0.8,0.1,0.9,79,43,298047
138570,316383,0,0.00412008,0.8,0.1,0.9,80,44,300831
139260,316383,0,0.00412008,0.8,0.1,0.9,80,44,301651
139530,316383,0,0.00412008,0.8,0.1,0.9,80,44,301885
139740,316383,0,0.00412008,0.8,0.1,0.9,80,44,302135
140010,316383,0,0.00412008,0.8,0.1,0.9,80,44,302390
140100,316383,0,0.0036646,0.8,0.1,0.9,81,45,302501
140130,316383,0,0.0036646,0.8,0.1,0.9,81,45,302532
140850,316383,0,0.0036646,0.8,0.1,0.9,81,45,303482
141390,316383,0,0.0036646,0.8,0.1,0.9,81,45,304429
142020,316383,0,0.00378882,0.8,0.1,0.9,81,45,305692
142230,316383,0,0.00378882,0.8,0.1,0.9,81,45,306145
142380,316383,0,0.00378882,0.8,0.1,0.9,81,45,306469
142470,316383,0,0.00378882,0.8,0.1,0.9,81,45,306628
142680,316383,0,0.00341615,0.8,0.1,0.9,82,46,307167
